activity_type,current_activity_type_intensity,cycles_to_calories,cycles_to_distance,data,data16,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,4063,,,,garmin,2,,3488215908,,,,2024-11-19 14:24:00,,,monitoring_b,,,,,,,,,,,,
,,,,,,,,,4063,,,,garmin,,,3488215908,3.23,,,,2024-11-19 14:24:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,0,0,200,,,,,,,,,
"(6, 1)",,"(0.0394, 0.124)","(1.6016, 2.4024)",,,,,,,,,2024-11-19 22:24:00,,,1952,,,,,,2024-11-19 14:24:00,,,,,,,,,,,,"(7500, 7500)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 83, 159, 65, 0, 2, 0, 218, 158, 0, 0, 181, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 83, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-19 14:24:00,,,,,,,,0,0,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,1100960640,,,,,,,,
,,,,200,200,,78,marker,,,,,,,,,,,,,2024-11-19 14:24:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 144, 9, 185)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 14:25:00,45,,,,,,,-26,,75,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1341,,,1100960700,,,,,,,,
,,,,,,,,,,83,,,,,,,,,,,,21436,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(106, 0, 64, 224)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 14:26:00,47,,,,,,,-29,,75,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1386,,,1100960760,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 14:27:00,57,,,,,,,-42,,75,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1453,,,1100960820,,,,,,,,
,,,,,,,,,,86,,,,,,,,,,,,21556,,,,,,,,,,,,,
sedentary,"(72,)",,,,,,,,,,2,,,,,,,,,,2024-11-19 14:27:00,,,,,,,,,,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,1100960820,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-19 14:27:00,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(52, 84, 159, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(52, 84, 159, 65, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
