active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,,,,,,4063,,,,garmin,30,,3488215908,,,,,2024-11-22 16:00:00,,,monitoring_b,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4063,,,,garmin,,,3488215908,3.25,,,,,2024-11-22 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,
,,"(6, 1)",,,"(0.0394, 0.124)","(1.6016, 2.4024)",,,,,,,,,,,2024-11-23 00:00:00,,,1952,,,,,,,2024-11-22 16:00:00,,,,,,,,,,,,,,,"(7500, 7500)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 94, 163, 65, 0, 2, 0, 218, 158, 0, 0, 181, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 94, 163, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-22 16:00:00,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,,1101225600,,,,,,,,
,,,,,,,200,200,,,,78,marker,,,,,,,,,,,,,,2024-11-22 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 94, 163, 65, 0, 2, 0, 218, 158, 0, 0, 181, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 94, 163, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,sedentary,"(8,)",,,,,,,,,,,,,0,,,,,,,,,,,2024-11-22 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 160, 48, 185)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-22 16:01:00,54,,,,,,,,,,-38,,13,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,,,,,,1101225660,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(188, 94, 163, 65, 1, 0, 78, 78, 67, 1, 0, 195, 2, 60, 207, 163, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(188, 94, 163, 65, 1, 1, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,78,,,,,,,,,,,,,24252,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(254, 0, 0, 192)",,,,,,,,,
,,,,,,,3,3,,,,54,marker,,,,,,,,,,,,,,2024-11-22 16:02:00,,,,,0,1101224640,,,,,,,,,,,
,,sedentary,"(40,)",,,,,,,,,,,,,1,,,,,,,,,,,2024-11-22 16:01:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-22 16:02:00,51,,,,,,,,,,-35,,13,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,,,,,,1101225720,,,,,,,,
,,,,,,,,,,,,,,,79,,,,,,,,,,,,,24312,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 0, 4, 240)",,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,2024-11-22 16:03:00,,,,,8,1101224820,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-22 16:03:00,59,,,,,,,,,,-45,,13,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439,,,,,,1101225780,,,,,,,,
,,,,,,,,,,,,,,,80,,,,,,,,,,,,,24372,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024-11-22 16:04:00,69,,,,,,,,,,-59,,13,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,,,,,,1101225840,,,,,,,,
,,,,,,,,,,,,,,,82,,,,,,,,,,,,,24432,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(30, 38, 211, 193)",,,,,,,,,
,,,,,,,2,2,,,,54,marker,,,,,,,,,,,,,,2024-11-22 16:05:00,,,,,0,1101224880,,,,,,,,,,,
,,sedentary,"(8,)",,,,,,,,,,,,,0,,,,,,,,,,,2024-11-22 16:04:00,,,,,,,,,,,,,,,,,
