active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version,vigorous_activity_minutes
,,,,,,,,,,,,,,4063,,,,garmin,,22,,3488215908,,,,,2024-11-21 05:05:00,,,monitoring_b,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4063,,,,garmin,,,,3488215908,3.25,,,,,2024-11-21 05:05:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,,
,,"(6, 1)",,,"(0.0394, 0.124)","(1.6016, 2.4024)",,,,,,,,,,,2024-11-21 13:05:00,,,,1952,,,,,,,2024-11-21 05:05:00,,,,,,,,,,,,,,,"(7470, 7470)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(139, 115, 161, 65, 0, 2, 0, 218, 158, 0, 0, 181, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(139, 115, 161, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
3,120.0,generic,,0.0,,,,,0.0,785,,,,,,,,,,,,,,,,,,2024-11-21 05:05:00,,,,,,,,,,,,,,,,,,
24,880.0,walking,,,,,,,357.17,785,,,,,,,,,,,,,,446,,,,2024-11-21 05:05:00,,,,,,,,,,,,,,,,,,
1,45.0,running,,,,,,,52.86,785,,,,,,,,,,,,,,44,,,,2024-11-21 05:05:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:05:00,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,55,,,,,1101099900,,,,,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,,,1101099900,,,,,,,,,
,,,,,,,200,200,,,,78,marker,,,,,,,,,,,,,,,2024-11-21 05:05:15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 115, 161, 65, 3, 0, 234, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 115, 161, 65, 3, 3, 43, 160, 0, 0, 253, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 115, 161, 65, 3, 4, 69, 4, 0, 0, 255, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 115, 161, 65, 3, 5, 29, 0, 0, 0, 255, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 115, 161, 65, 3, 6, 40, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 115, 161, 65, 3, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 115, 161, 65, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(154, 115, 161, 65, 3, 11, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:06:00,,,,,8,1101099000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:06:00,74,,,,,,,,,,-65,,77,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,,,,,,1101099960,,,,,,,,,
,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,29624,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:07:00,,,,,0,1101099060,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:07:00,70,,,,,,,,,,-60,,77,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464,,,,,,1101100020,,,,,,,,,
,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,29684,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 36, 1, 176)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:08:00,,,,,8,1101099120,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:08:00,62,,,,,,,,,,-49,,77,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369,,,,,,1101100080,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 0, 0, 248)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:09:00,-2,,,,,,,,,,102,,77,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1101100140,,,,,,,,,
,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,29804,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 144, 73, 185)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:10:00,-2,,,,,,,,,,102,,76,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1101100200,,,,,,,,,
,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,29864,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:11:00,78,,,,,,,,,,-71,,76,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298,,,,,,1101100260,,,,,,,,,
,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,29924,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 0, 0, 248)",,,,,,,,,,
,,,,,,,4,4,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:12:00,,,,,0,1101099180,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:12:00,68,,,,,,,,,,-57,,76,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227,,,,,,1101100320,,,,,,,,,
,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,29984,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(20, 140, 85, 185)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:13:00,66,,,,,,,,,,-54,,76,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268,,,,,,1101100380,,,,,,,,,
,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,30044,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(254, 0, 0, 192)",,,,,,,,,,
,,,,,,,2,2,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:14:00,,,,,8,1101099420,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:14:00,63,,,,,,,,,,-51,,76,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283,,,,,,1101100440,,,,,,,,,
,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,30104,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:15:00,,,,,0,1101099540,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:15:00,70,,,,,,,,,,-60,,75,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233,,,,,,1101100500,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 0, 4, 240)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:16:00,,,,,8,1101099600,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:16:00,75,,,,,,,,,,-66,,75,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421,,,,,,1101100560,,,,,,,,,
,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,30224,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38, 148, 1, 176)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:17:00,83,,,,,,,,,,-77,,75,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,,,,,,1101100620,,,,,,,,,
,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,30284,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 0, 0, 248)",,,,,,,,,,
,,,,,,,2,2,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:18:00,,,,,0,1101099660,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:18:00,84,,,,,,,,,,-79,,75,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,,,,,,1101100680,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:19:00,,,,,8,1101099780,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:19:00,78,,,,,,,,,,-71,,75,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357,,,,,,1101100740,,,,,,,,,
,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,30404,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(8, 108, 1, 176)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:20:00,73,,,,,,,,,,-64,,74,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221,,,,,,1101100800,,,,,,,,,
,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,30464,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 0, 4, 240)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:21:00,84,,,,,,,,,,-79,,74,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116,,,,,,1101100860,,,,,,,,,
,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,30524,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 80)",,,,,,,,,,
,,sedentary,"(136,)",,,,,,,,,,,,,4,,,,,,,,,,,,2024-11-21 05:21:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:22:00,87,,,,,,,,,,-82,,74,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034,,,,,,1101100920,,,,,,,,,
,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,30584,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(27, 2, 0, 0)",,,,,,,,,,
25,895.0,walking,"(102,)",228.0,,,,,,,,,,,,3,,,,,,,,,,,,,30584,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:23:00,84,,,,,,,,,,-78,,74,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,,,,,,1101100980,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 32, 19, 11)",,,,,,,,,,
,,,,,,,5,5,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:24:00,,,,,0,1101099840,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:24:00,84,,,,,,,,,,-79,,73,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,,,,,,1101101040,,,,,,,,,
,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,30704,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(32, 32, 0, 16)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:25:00,,,,,8,1101100140,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:25:00,84,,,,,,,,,,-79,,73,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,,,,,,1101101100,,,,,,,,,
,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,30764,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 0, 0, 248)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-11-21 05:26:00,,,,,0,1101100200,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21 05:26:00,86,,,,,,,,,,-81,,73,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,,,,,,1101101160,,,,,,,,,
,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,30824,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(54, 144, 120, 185)",,,,,,,,,,
