active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version,vigorous_activity_minutes
,,,,,,,,,,,,,,4063,,,,garmin,,16,,3488215908,,,,,2024-11-20 06:13:00,,,monitoring_b,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4063,,,,garmin,,,,3488215908,3.25,,,,,2024-11-20 06:13:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,,
,,"(6, 1)",,,"(0.0394, 0.124)","(1.6016, 2.4024)",,,,,,,,,,,2024-11-20 14:13:00,,,,1952,,,,,,,2024-11-20 06:13:00,,,,,,,,,,,,,,,"(7500, 7500)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 0, 2, 0, 218, 158, 0, 0, 181, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
269,4680.0,generic,,0.0,,,,,0.0,853,,,,,,,,,,,,,,,,,,2024-11-20 06:13:00,,,,,,,,,,,,,,,,,,
204,3855.0,walking,,,,,,,3465.84,853,,,,,,,,,,,,,,4328,,,,2024-11-20 06:13:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-20 06:13:00,,,,,,,,,,,7,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,55,,,,,1101017580,,,,,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,,,1101017580,,,,,,,,,
,,,,,,,200,200,,,,78,marker,,,,,,,,,,,,,,,2024-11-20 06:13:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 3, 0, 232, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 3, 3, 216, 73, 5, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 3, 4, 94, 6, 0, 0, 255, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 3, 5, 218, 1, 0, 0, 255, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 3, 6, 132, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 3, 9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 3, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(236, 49, 160, 65, 3, 11, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-20 06:14:00,98,,,,,,,,,,-97,,54,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462,,,,,,1101017640,,,,,,,,,
,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,12840,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422,,,,,,1101017700,,,,,,,,,
,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,12900,,,,,,,,,,,,,,,,,
274,4800.0,generic,"(96,)",0.0,,,,,,,,,,,,3,,,,,,,,,,,,,12900,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 187, 220, 193)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-20 06:16:00,-1,,,,,,,,,,101,,54,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312,,,,,,1101017760,,,,,,,,,
,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,12960,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 192, 1, 176)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-20 06:17:00,-1,,,,,,,,,,101,,54,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,,,,,,1101017820,,,,,,,,,
,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,13020,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 0, 0, 24)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-20 06:18:00,-1,,,,,,,,,,101,,54,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,,,,,,1101017880,,,,,,,,,
,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,13080,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 0, 4, 240)",,,,,,,,,,
282,4980.0,generic,"(64,)",0.0,,,,,,,,,,,,2,,,,,,,,,,,,,13080,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-20 06:19:00,-1,,,,,,,,,,101,,54,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1101017940,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(46, 0, 0, 248)",,,,,,,,,,
,,,,,,,9,9,,,,54,marker,,,,,,,,,,,,,,,2024-11-20 06:20:00,,,,,0,1101016560,,,,,,,,,,,,
209,3915.0,walking,"(70,)",2175.5,,,,,,,,,,,,2,,,,,,,,,,,,,13140,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-20 06:20:00,-2,,,,,,,,,,102,,54,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493,,,,,,1101018000,,,,,,,,,
,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,
